	airport_id	airport_name	year	month	origin_domestic	origin_international	origin_total	destination_domestic	destination_international	destination_total	destination_total	report_dt
179	KDEN	DENVER INTL AIRPORT	2016	7	23,694	900	24,594	23,689	835	24,524	24,524	2023-09-14
180	KDEN	DENVER INTL AIRPORT	2016	8	23,838	766	24,604	23,832	793	24,625	24,625	2023-09-14
181	KDEN	DENVER INTL AIRPORT	2016	9	22,313	696	23,009	22,316	693	23,009	23,009	2023-09-14
182	KDEN	DENVER INTL AIRPORT	2016	10	22,800	728	23,528	22,740	732	23,472	23,472	2023-09-14
183	KDEN	DENVER INTL AIRPORT	2016	11	20,810	729	21,539	20,813	725	21,538	21,538	2023-09-14
184	KDEN	DENVER INTL AIRPORT	2016	12	21,413	858	22,271	21,403	860	22,263	22,263	2023-09-14
185	KDEN	DENVER INTL AIRPORT	2016	TOTAL	259,107	9,570	268,677	258,985	9,515	268,500	268,500	2023-09-14
186	KDEN	DENVER INTL AIRPORT	2017	1	20,666	842	21,508	20,638	841	21,479	21,479	2023-09-14
187	KDEN	DENVER INTL AIRPORT	2017	2	18,965	768	19,733	18,951	765	19,716	19,716	2023-09-14
188	KDEN	DENVER INTL AIRPORT	2017	3	22,553	935	23,488	22,546	930	23,476	23,476	2023-09-14
189	KDEN	DENVER INTL AIRPORT	2017	4	21,106	851	21,957	21,106	850	21,956	21,956	2023-09-14
190	KDEN	DENVER INTL AIRPORT	2017	5	22,556	877	23,433	22,525	885	23,410	23,410	2023-09-14
191	KDEN	DENVER INTL AIRPORT	2017	6	23,229	956	24,185	23,213	956	24,169	24,169	2023-09-14
192	KDEN	DENVER INTL AIRPORT	2017	7	24,158	973	25,131	24,153	970	25,123	25,123	2023-09-14
193	KDEN	DENVER INTL AIRPORT	2017	8	24,316	929	25,245	24,313	922	25,235	25,235	2023-09-14
194	KDEN	DENVER INTL AIRPORT	2017	9	21,631	795	22,426	21,639	795	22,434	22,434	2023-09-14
195	KDEN	DENVER INTL AIRPORT	2017	10	22,109	795	22,904	22,077	795	22,872	22,872	2023-09-14
196	KDEN	DENVER INTL AIRPORT	2017	11	20,543	897	21,440	20,532	891	21,423	21,423	2023-09-14
197	KDEN	DENVER INTL AIRPORT	2017	12	21,078	1,045	22,123	21,131	1,038	22,169	22,169	2023-09-14
198	KDEN	DENVER INTL AIRPORT	2017	TOTAL	262,910	10,663	273,573	262,824	10,638	273,462	273,462	2023-09-14
199	KDEN	DENVER INTL AIRPORT	2018	1	20,983	1,006	21,989	20,937	1,004	21,941	21,941	2023-09-14
200	KDEN	DENVER INTL AIRPORT	2018	2	18,857	878	19,735	18,844	866	19,710	19,710	2023-09-14
201	KDEN	DENVER INTL AIRPORT	2018	3	22,034	1,080	23,114	22,038	1,076	23,114	23,114	2023-09-14
